# IP	Distancia
7.102.63.240	445
7.102.88.107	363
7.110.239.196	353
7.110.239.215	427
7.122.134.186	455
7.126.247.124	492
7.131.11.43	237
7.131.161.37	355
7.133.122.133	634
7.137.44.113	253
7.140.209.230	213
7.140.237.119	427
7.146.134.232	328
7.149.172.97	260
7.150.125.118	412
7.155.180.19	437
7.158.211.206	387
7.162.148.214	229
7.162.159.56	293
7.171.179.62	543
7.171.199.66	308
7.181.15.206	285
7.185.199.134	348
7.193.196.45	387
7.194.173.73	330
7.195.29.193	384
7.196.214.75	476
7.197.247.135	459
7.203.76.215	384
7.205.232.114	345
7.207.221.9	460
7.210.236.9	364
7.211.107.214	362
7.214.72.175	259
7.219.246.201	449
7.224.126.172	264
7.227.57.88	346
7.230.189.78	371
7.233.125.130	426
7.235.121.84	400
7.248.131.116	177
7.250.146.121	256
7.252.200.171	329
8.6.131.70	265
8.8.178.125	450
8.20.254.211	335
8.21.48.220	133
8.29.78.177	322
8.52.84.10	372
8.54.83.172	351
8.56.125.160	480
8.68.218.77	313
8.72.206.236	427
8.78.242.242	290
8.79.11.131	429
8.81.1.51	319
8.81.185.92	403
8.83.251.225	367
8.90.170.47	323
8.93.165.120	331
8.96.14.175	368
8.103.230.129	328
8.104.227.126	350
8.106.149.51	333
8.112.52.181	280
8.112.229.148	386
8.113.230.41	324
8.115.175.217	337
8.117.167.78	380
8.117.245.11	355
8.121.254.49	425
8.126.149.23	355
8.130.50.48	351
8.133.132.240	359
8.134.22.108	287
8.136.34.161	315
8.138.212.64	354
8.146.43.170	264
8.147.73.95	350
8.150.143.141	414
8.151.86.53	200
8.156.153.187	193
8.158.22.166	556
8.161.158.229	405
8.166.218.117	386
8.171.7.27	220
8.179.73.99	471
8.181.138.198	297
8.182.192.242	434
8.190.139.2	368
8.194.249.193	454
8.195.192.175	322
8.209.48.195	436
8.212.205.31	409
8.216.49.213	387
8.217.214.74	132
8.221.142.240	319
8.222.236.71	442
8.224.193.157	421
8.227.80.50	358
8.228.209.145	302
8.234.144.193	440
8.240.123.193	434
8.241.158.182	483
8.251.229.219	238
8.254.205.149	486
9.9.117.244	305
9.12.165.80	247
9.21.2.168	355
9.25.13.5	263
9.41.16.68	419
9.42.194.247	404
9.47.246.182	344
9.49.20.212	385
9.53.151.27	312
9.64.199.244	246
9.66.187.43	317
9.69.10.86	324
9.70.23.38	530
9.73.185.168	338
9.75.109.210	238
9.77.45.129	392
9.84.107.252	280
9.84.154.97	182
9.86.130.109	420
9.99.150.121	283
9.105.64.132	541
9.105.88.249	333
9.108.178.111	275
9.118.35.35	346
9.123.2.145	354
9.124.14.142	343
9.133.23.42	566
9.140.40.140	351
9.142.169.132	232
9.144.61.232	239
9.147.49.225	313
9.147.126.123	370
9.161.145.106	323
9.163.27.154	290
9.167.178.55	451
9.171.73.51	289
9.175.85.76	451
9.182.243.148	271
9.185.194.62	267
9.191.250.103	377
9.199.104.42	442
9.200.198.223	393
9.200.221.54	361
9.208.112.92	424
9.211.84.144	502
9.221.74.189	304
9.228.204.147	372
9.231.25.225	360
9.231.156.118	322
9.240.17.115	223
9.244.182.66	270
9.246.141.146	383
9.253.242.108	437
9.254.66.229	406
10.9.47.176	384
10.10.21.116	404
10.27.28.185	251
10.33.81.177	454
10.34.33.134	467
10.44.83.100	204
10.45.34.23	200
10.45.120.3	251
10.56.54.35	277
10.56.193.210	203
10.64.248.20	316
10.70.188.197	266
10.74.101.28	355
10.80.59.30	470
10.81.78.28	278
10.86.206.167	574
10.89.145.127	404
10.93.107.111	630
10.95.92.76	342
10.95.217.184	361
10.99.40.17	324
10.99.219.14	327
10.110.118.62	310
10.111.40.115	376
10.114.14.226	338
10.116.14.17	573
10.117.83.79	260
10.118.211.72	231
10.120.61.17	433
10.125.139.186	219
10.133.211.143	546
10.133.245.228	327
10.139.77.32	343
10.140.149.34	367
10.146.199.202	433
10.150.103.163	542
10.153.140.249	340
10.153.241.53	477
10.155.24.11	331
10.158.65.56	556
10.164.200.86	444
10.164.253.210	560
10.165.174.170	276
10.170.120.194	239
10.178.113.183	303
10.178.236.206	417
10.181.132.235	328
10.182.247.176	430
10.187.47.209	276
10.189.121.253	367
10.197.5.132	325
10.198.122.102	351
10.205.14.230	282
10.211.55.84	302
10.212.32.215	381
10.217.71.102	256
10.218.177.57	430
10.230.234.169	426
10.238.109.132	395
10.239.195.39	295
10.247.142.96	292
10.253.98.8	407
11.6.69.13	302
11.16.219.40	244
11.17.141.100	262
11.30.236.167	412
11.42.94.110	407
11.45.106.166	226
11.46.100.224	369
11.57.29.96	353
11.59.87.42	312
11.59.171.27	354
11.60.164.183	427
11.61.24.10	302
11.65.103.18	434
11.68.218.39	301
11.69.94.47	348
11.78.33.227	263
11.79.168.10	262
11.84.233.253	352
11.98.158.80	315
11.102.252.152	360
11.104.241.125	246
11.105.45.36	377
11.106.213.233	294
11.110.97.148	319
11.115.153.192	349
11.116.109.207	416
11.120.45.138	376
11.122.39.77	348
11.129.97.87	188
11.142.173.67	393
11.143.235.221	429
11.146.182.179	269
11.160.195.201	393
11.161.43.17	183
11.161.203.31	422
11.162.128.164	261
11.162.245.199	119
11.165.115.211	342
11.166.103.152	338
11.177.217.144	507
11.181.32.42	302
11.183.12.115	299
11.184.204.53	316
11.186.100.43	145
11.190.136.246	361
11.199.20.13	303
11.206.200.8	403
11.208.126.106	339
11.221.22.211	466
11.228.204.188	318
11.234.17.101	281
11.234.221.82	318
11.243.16.249	388
11.247.10.178	392
11.248.110.105	295
12.6.26.120	302
12.10.108.74	404
12.10.215.124	407
12.12.202.218	268
12.20.89.73	259
12.20.174.168	294
12.33.141.134	371
12.34.174.43	371
12.35.157.60	391
12.36.201.60	455
12.43.210.37	324
12.49.83.226	250
12.51.68.46	319
12.64.162.188	294
12.74.117.213	267
12.76.218.162	341
12.79.231.201	303
12.86.2.210	178
12.87.232.236	351
12.89.186.201	393
12.93.226.71	346
12.100.167.220	378
12.104.13.124	427
12.105.222.163	375
12.106.221.212	306
12.109.25.249	397
12.140.247.40	403
12.151.44.60	271
12.151.61.117	413
12.162.107.247	368
12.173.249.95	490
12.177.242.177	445
12.180.247.198	346
12.183.20.212	600
12.183.116.214	584
12.186.201.252	412
12.187.254.70	616
12.188.168.7	546
12.194.4.4	300
12.200.37.31	525
12.207.97.106	365
12.207.132.200	422
12.214.62.49	341
12.221.245.103	294
12.223.76.120	353
12.230.58.14	298
13.1.153.24	248
13.3.16.144	361
13.12.134.181	133
13.15.22.100	359
13.20.87.156	278
13.21.133.9	364
13.30.192.242	342
13.36.108.43	317
13.37.228.79	363
13.40.203.116	287
13.41.167.254	435
13.43.144.63	318
13.54.132.51	260
13.60.65.222	382
13.70.111.81	482
13.70.220.209	305
13.73.32.19	465
13.75.65.3	276
13.75.77.113	318
13.81.124.249	627
13.82.147.13	332
13.86.215.136	200
13.92.132.234	356
13.93.193.234	355
13.97.2.178	331
13.97.154.214	353
13.100.142.184	303
13.115.34.26	613
13.115.106.78	326
13.120.44.206	337
13.138.208.51	457
13.145.32.251	410
13.148.73.252	254
13.149.155.234	346
13.155.175.64	547
13.160.236.209	463
13.161.204.128	310
13.162.254.12	299
13.163.82.245	320
13.163.109.29	464
13.164.167.125	384
13.164.240.77	135
13.169.56.87	363
13.170.69.60	421
13.172.200.60	217
13.184.222.42	445
13.185.242.178	337
13.194.22.152	330
13.196.98.44	205
13.198.145.144	447
13.202.36.200	340
13.206.248.137	279
13.217.21.181	259
13.221.253.243	407
13.227.97.74	484
13.233.67.194	214
13.233.112.177	299
13.244.16.185	373
13.247.71.123	305
14.2.20.138	281
14.12.98.60	438
14.19.43.106	389
14.21.148.26	331
14.23.187.208	389
14.26.181.148	492
14.27.48.1	408
14.34.135.22	369
14.35.7.157	562
14.50.73.175	354
14.53.135.183	424
14.53.156.90	337
14.57.212.145	258
14.59.113.215	267
14.59.189.39	397
14.62.235.241	474
14.68.172.88	266
14.70.119.159	370
14.92.50.84	293
14.106.93.3	335
14.108.216.206	417
14.110.135.212	355
14.114.190.225	406
14.130.95.249	339
14.135.86.175	425
14.135.191.59	496
14.136.52.200	313
14.142.238.65	381
14.143.115.162	257
14.165.136.167	608
14.169.5.181	595
14.178.214.117	377
14.188.174.88	332
14.191.8.239	336
14.193.52.15	449
14.195.85.59	310
14.195.135.9	420
14.201.35.217	244
14.203.3.94	227
14.208.149.204	344
14.209.120.142	351
14.222.16.62	278
14.231.61.120	341
14.236.43.32	385
14.244.91.57	338
14.246.50.73	361
14.250.172.242	357
14.251.160.134	386
15.15.169.106	334
15.18.246.166	141
15.32.115.229	261
15.33.171.67	553
15.36.49.83	462
15.46.28.47	270
15.47.246.90	203
15.48.179.211	370
15.50.142.99	369
15.50.230.56	356
15.61.171.101	343
15.64.111.88	290
15.66.91.222	254
15.72.230.165	255
15.81.71.73	448
15.82.104.90	360
15.84.158.24	180
15.87.242.138	267
15.98.148.107	216
15.99.51.230	455
15.99.230.176	402
15.105.156.90	343
15.113.152.9	421
15.113.211.66	275
15.122.88.174	346
15.126.148.175	227
15.129.56.86	564
15.131.167.110	354
15.133.168.145	374
15.133.240.231	446
15.137.189.250	411
15.138.21.104	406
15.138.87.16	480
15.141.37.181	281
15.143.68.70	377
15.145.33.78	434
15.147.208.132	321
15.148.114.189	227
15.148.148.234	412
15.150.84.239	295
15.156.53.208	344
15.159.176.77	716
15.174.107.28	247
15.177.187.190	305
15.184.92.201	405
15.186.126.66	263
15.187.46.101	132
15.190.52.88	247
15.203.155.221	256
15.206.179.75	386
15.210.47.91	397
15.214.176.209	351
15.223.33.46	305
15.223.154.58	358
15.228.128.99	357
15.232.172.195	472
15.239.50.97	486
15.248.120.17	177
15.252.58.182	349
16.6.170.243	311
16.13.141.120	367
16.18.18.213	371
16.21.136.141	302
16.26.101.10	322
16.27.178.244	454
16.39.1.125	265
16.39.58.131	378
16.49.96.102	245
16.51.167.104	316
16.52.46.230	306
16.54.245.71	329
16.57.208.207	611
16.60.29.191	402
16.61.173.62	472
16.62.90.67	353
16.65.174.199	363
16.67.24.121	388
16.72.132.202	382
16.73.21.233	511
16.81.14.2	480
16.87.182.160	342
16.88.119.99	162
16.90.149.72	315
16.101.4.129	468
16.110.85.221	404
16.111.251.182	510
16.113.206.211	331
16.114.244.251	349
16.118.24.176	377
16.123.107.71	433
16.128.113.110	561
16.128.168.46	341
16.136.133.194	318
16.136.175.203	329
16.143.95.233	410
16.143.180.78	335
16.151.50.135	301
16.157.189.188	406
16.160.31.196	413
16.162.74.121	543
16.168.164.52	420
16.168.192.219	466
16.173.249.120	282
16.174.99.85	453
16.175.128.142	468
16.188.160.183	277
16.189.19.72	327
16.192.146.113	384
16.210.141.193	315
16.211.189.212	458
16.219.145.104	296
16.225.247.85	301
16.233.163.206	433
16.234.78.156	313
16.236.31.51	232
16.242.44.136	226
16.250.142.180	563
17.4.54.44	274
17.11.156.220	346
17.12.243.204	182
17.13.100.76	385
17.28.192.161	319
17.30.26.16	212
17.34.237.173	289
17.35.40.189	285
17.39.101.89	311
17.40.56.99	296
17.42.236.107	250
17.55.38.186	81
17.55.112.35	372
17.63.108.223	375
17.70.120.209	322
17.76.152.76	734
17.86.34.174	282
17.95.214.202	331
17.102.123.120	425
17.110.164.189	319
17.113.63.89	294
17.115.99.31	183
17.126.203.224	404
17.127.113.70	299
17.133.225.196	356
17.134.90.93	398
17.135.167.155	402
17.137.68.70	384
17.146.77.17	383
17.146.245.221	291
17.151.212.158	322
17.152.63.8	246
17.153.31.181	347
17.185.210.181	406
17.186.4.72	364
17.193.99.143	321
17.208.45.213	450
17.210.90.53	290
17.213.205.41	246
17.216.37.157	275
17.227.141.128	253
17.229.71.225	409
17.239.175.159	308
17.239.229.134	365
18.11.246.59	428
18.13.91.68	270
18.15.18.26	526
18.19.11.164	217
18.20.148.122	323
18.35.69.177	281
18.42.240.234	337
18.54.188.215	369
18.60.217.1	236
18.67.76.96	567
18.72.142.13	434
18.75.169.28	482
18.79.191.101	311
18.80.188.123	365
18.81.232.155	557
18.87.6.180	279
18.101.249.253	497
18.116.142.147	314
18.120.214.31	456
18.122.213.245	425
18.123.141.254	326
18.124.218.100	460
18.133.123.24	275
18.137.172.214	378
18.155.168.88	319
18.157.38.106	419
18.161.8.219	306
18.172.241.48	324
18.176.73.153	460
18.194.158.148	354
18.196.142.104	264
18.202.194.152	318
18.207.77.148	298
18.214.204.34	433
18.219.196.221	325
18.228.232.15	381
18.231.35.63	393
18.241.160.92	249
18.242.190.163	295
18.244.62.33	314
18.244.167.74	301
18.248.4.213	274
18.250.172.221	259
18.251.235.216	473
18.254.38.166	378
18.254.189.50	332
19.11.194.246	432
19.23.94.206	417
19.49.49.26	159
19.67.11.64	372
19.72.92.131	192
19.72.155.138	362
19.72.226.178	136
19.83.235.205	375
19.85.123.182	268
19.87.36.142	359
19.100.193.206	366
19.102.33.165	343
19.103.119.48	418
19.103.222.204	465
19.104.102.75	420
19.105.189.79	433
19.109.207.44	306
19.114.132.32	335
19.122.3.161	214
19.132.172.124	312
19.155.170.29	272
19.159.8.164	333
19.159.11.66	294
19.159.135.108	229
19.169.115.12	340
19.174.247.163	287
19.183.237.65	514
19.185.2.237	370
19.202.139.148	299
19.205.161.46	394
19.208.107.241	278
19.211.67.249	406
19.213.54.150	337
19.214.223.38	355
19.215.101.141	310
19.225.175.146	295
19.230.235.33	643
19.232.85.10	351
19.234.88.86	340
19.235.151.23	317
19.238.48.95	353
19.243.45.170	342
19.248.209.5	360
19.254.124.51	177
20.6.113.44	375
20.14.10.26	302
20.16.189.173	306
20.21.122.101	438
20.21.130.136	326
20.29.57.172	332
20.34.21.58	374
20.39.154.63	319
20.46.19.23	348
20.56.121.199	481
20.62.118.152	340
20.66.51.230	346
20.71.179.220	449
20.77.219.46	462
20.79.35.178	196
20.81.157.231	376
20.84.134.101	172
20.85.161.49	280
20.92.170.161	375
20.97.232.115	467
20.100.38.233	327
20.101.92.140	395
20.101.138.198	259
20.105.57.216	228
20.111.66.76	330
20.114.231.62	395
20.115.109.246	293
20.116.33.50	400
20.126.26.75	401
20.126.128.84	531
20.127.101.151	457
20.128.167.128	239
20.139.163.65	205
20.143.191.23	310
20.151.22.130	313
20.153.137.11	298
20.155.103.218	281
20.158.167.75	455
20.160.251.250	339
20.162.151.46	500
20.162.238.160	300
20.169.171.199	158
20.170.10.37	361
20.179.164.36	357
20.181.159.17	422
20.184.159.157	368
20.193.216.161	353
20.197.78.29	220
20.197.161.246	400
20.197.242.29	411
20.201.36.98	324
20.208.12.251	365
20.208.45.213	349
20.209.166.140	379
20.215.43.81	234
20.224.79.201	320
20.229.13.39	305
20.235.95.37	272
20.242.129.33	481
20.250.111.215	327
21.6.49.239	311
21.9.240.243	508
21.20.235.190	380
21.29.110.147	240
21.46.43.181	323
21.47.232.237	403
21.49.74.220	447
21.49.237.212	328
21.54.63.166	320
21.59.64.33	300
21.64.233.57	264
21.67.202.105	385
21.70.144.10	394
21.74.231.164	302
21.75.81.129	267
21.79.195.62	222
21.88.189.224	417
21.89.230.187	316
21.91.151.96	537
21.92.7.94	298
21.95.43.240	332
21.99.62.102	432
21.101.213.223	287
21.107.20.33	349
21.113.14.152	378
21.118.83.228	431
21.124.60.162	445
21.126.58.166	432
21.137.197.33	644
21.141.149.111	481
21.142.218.123	303
21.148.163.90	228
21.154.27.133	263
21.158.243.2	348
21.170.206.84	502
21.173.97.179	258
21.190.42.65	373
21.200.104.112	323
21.208.81.243	294
21.219.195.205	354
21.224.233.147	320
21.231.227.132	273
21.234.247.144	323
21.246.104.111	309
21.247.183.33	400
21.253.231.174	303
22.7.86.253	335
22.15.85.210	385
22.20.29.13	393
22.20.206.84	280
22.30.113.217	351
22.35.122.219	414
22.42.73.127	502
22.48.25.35	161
22.53.170.192	366
22.57.152.196	362
22.67.238.85	376
22.70.122.35	291
22.84.113.148	421
22.86.10.29	278
22.90.21.157	327
22.91.74.227	384
22.94.137.161	288
22.94.219.180	339
22.94.234.123	288
22.101.75.95	522
22.109.15.199	397
22.111.221.253	325
22.133.246.211	379
22.143.42.140	382
22.145.187.127	340
22.149.182.127	277
22.162.79.52	328
22.167.126.8	372
22.176.194.85	364
22.181.152.1	384
22.195.104.14	632
22.200.131.143	419
22.205.146.135	298
22.212.237.161	516
22.221.10.189	365
22.222.70.17	457
22.226.178.240	337
22.230.212.124	509
22.246.129.172	267
23.8.112.133	278
23.13.148.178	427
23.14.152.26	390
23.16.163.202	342
23.17.13.114	376
23.28.224.68	338
23.29.53.185	336
23.32.224.102	291
23.38.78.100	385
23.48.5.97	272
23.59.72.2	270
23.60.67.253	168
23.71.91.232	275
23.72.40.78	544
23.78.127.39	439
23.78.135.4	347
23.80.46.128	277
23.87.109.225	392
23.90.224.62	353
23.100.49.218	485
23.100.117.120	325
23.114.140.165	262
23.122.220.27	318
23.129.77.249	375
23.131.113.196	302
23.133.33.83	406
23.133.84.10	322
23.137.237.58	395
23.151.29.236	204
23.151.181.10	375
23.153.182.189	323
23.170.131.117	391
23.172.29.37	343
23.180.205.205	365
23.181.29.25	255
23.186.77.65	259
23.198.219.242	246
23.217.8.201	556
23.218.73.243	347
23.220.169.111	368
23.223.8.68	251
23.230.172.172	307
23.240.179.113	420
23.243.45.182	372
23.245.108.153	342
23.251.215.50	339
24.3.146.4	291
24.3.176.69	353
24.18.115.185	446
24.27.215.152	308
24.29.253.43	324
24.30.40.174	370
24.36.164.216	409
24.43.137.71	420
24.43.209.95	338
24.51.31.170	258
24.56.245.179	266
24.61.155.61	504
24.66.240.226	547
24.67.61.25	306
24.69.114.135	612
24.71.30.100	228
24.74.56.74	555
24.76.13.189	376
24.79.192.244	342
24.83.152.164	290
24.90.18.114	366
24.94.3.110	428
24.96.145.188	363
24.106.169.153	430
24.108.62.248	346
24.108.77.19	368
24.121.95.12	396
24.121.209.237	640
24.125.200.129	324
24.132.99.60	345
24.132.152.209	185
24.135.209.48	397
24.136.185.49	480
24.143.130.72	345
24.146.82.48	398
24.153.8.247	624
24.157.19.121	485
24.159.38.144	387
24.160.185.183	283
24.161.150.196	518
24.167.80.28	519
24.169.7.198	378
24.172.212.216	456
24.179.53.158	398
24.191.73.226	357
24.193.38.92	303
24.194.17.81	310
24.195.176.227	501
24.196.234.133	585
24.197.254.60	286
24.203.121.239	206
24.205.26.218	355
24.215.108.73	354
24.217.147.186	258
24.220.166.184	319
24.222.175.248	456
24.231.192.48	569
24.240.178.75	389
24.243.154.181	373
24.244.133.105	404
24.251.135.75	370
24.252.58.36	257
25.24.45.107	299
25.25.161.56	377
25.27.15.222	254
25.27.51.107	330
25.30.9.85	434
25.41.3.166	503
25.47.186.88	393
25.50.153.252	331
25.53.23.102	292
25.54.67.62	231
25.60.97.205	449
25.62.204.79	233
25.63.237.163	357
25.65.84.173	267
25.65.177.103	402
25.69.125.85	228
25.75.216.39	349
25.86.180.167	417
25.95.32.31	327
25.96.60.114	324
25.96.156.138	298
25.101.175.217	312
25.103.204.233	337
25.113.43.192	376
25.116.117.235	456
25.116.248.143	237
25.119.108.92	408
25.120.147.213	371
25.131.23.193	356
25.134.217.11	275
25.140.124.10	366
25.140.165.105	368
25.143.69.18	421
25.143.167.146	415
25.147.148.29	410
25.150.113.100	428
25.155.159.201	222
25.169.167.41	448
25.182.185.44	379
25.187.139.207	407
25.188.233.146	287
25.190.107.194	95
25.192.14.241	406
25.193.72.248	300
25.195.228.45	336
25.210.189.65	533
25.213.89.160	389
25.216.134.222	468
25.219.115.152	282
25.220.135.36	474
25.224.100.65	315
25.229.122.74	606
25.231.80.104	290
25.231.198.141	382
25.233.21.134	535
25.236.158.14	307
25.239.207.55	407
25.243.120.91	332
25.245.70.38	348
25.250.241.155	460
26.2.245.147	399
26.3.160.38	334
26.4.108.209	458
26.18.48.89	359
26.23.159.157	437
26.30.205.88	386
26.31.63.241	525
26.35.6.243	344
26.35.24.149	234
26.56.63.120	167
26.59.10.59	291
26.64.85.251	393
26.69.33.207	442
26.69.144.202	392
26.73.188.161	386
26.75.155.117	402
26.79.168.1	376
26.82.63.217	360
26.87.185.104	289
26.93.204.89	391
26.95.3.17	386
26.95.114.250	296
26.99.103.44	288
26.100.139.204	363
26.104.170.32	353
26.109.133.98	359
26.125.32.179	337
26.127.64.110	425
26.128.70.140	498
26.129.51.33	520
26.134.1.115	340
26.143.218.153	315
26.145.156.23	313
26.147.249.11	321
26.160.181.119	380
26.162.1.11	332
26.174.238.70	567
26.176.81.136	379
26.178.183.179	348
26.188.85.247	343
26.191.130.196	199
26.193.172.185	400
26.202.74.194	504
26.205.152.231	488
26.206.202.125	453
